2025-07-21 17:34:34,768 | SLAM.ROSBotController | ERROR | _init_advanced_slam:279 | Advanced SLAM initialization error: RobustSLAMManager.__init__() got an unexpected keyword argument 'loop_closure_detector'
2025-07-21 17:34:34,768 | SLAM.ROSBotController | WARNING | _init_advanced_slam:280 | Running with basic navigation fallback
2025-07-21 17:34:34,934 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,026 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,129 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,212 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,302 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,408 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,517 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,599 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,698 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,775 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,874 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:35,969 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,051 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,127 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,231 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,310 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,400 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,493 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,597 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,673 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,749 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,826 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,912 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:36,989 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:37,066 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:37,141 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:37,250 | SLAM.ROSBotController | ERROR | run:406 | State machine error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2025-07-21 17:34:37,250 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:37,325 | SLAM.ROSBotController | ERROR | handle_error_recovery:659 | Error recovery mode
2025-07-21 17:34:37,325 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:37,399 | SLAM.ROSBotController | ERROR | handle_error_recovery:659 | Error recovery mode
2025-07-21 17:34:37,399 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:37,474 | SLAM.ROSBotController | ERROR | handle_error_recovery:659 | Error recovery mode
2025-07-21 17:34:37,474 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:37,568 | SLAM.ROSBotController | ERROR | handle_error_recovery:659 | Error recovery mode
2025-07-21 17:34:37,569 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
2025-07-21 17:34:37,643 | SLAM.ROSBotController | ERROR | handle_error_recovery:659 | Error recovery mode
2025-07-21 17:34:37,643 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:803 | Emergency stop - obstacle detected!
