2025-07-21 17:53:24,785 | SLAM.ROSBotController | INFO | _init_motors:137 | 4-wheel motor system initialized
2025-07-21 17:53:24,787 | SLAM.ROSBotController | INFO | _init_sensors:153 | RGB Camera enabled
2025-07-21 17:53:24,788 | SLAM.ROSBotController | INFO | _init_sensors:163 | Depth Camera enabled
2025-07-21 17:53:24,789 | SLAM.ROSBotController | INFO | _init_sensors:173 | LiDAR enabled
2025-07-21 17:53:24,789 | SLAM.ROSBotController | INFO | _init_sensors:190 | Wheel encoders initialized
2025-07-21 17:53:24,789 | SLAM.ROSBotController | INFO | _init_sensors:215 | Complete sensor suite initialized
2025-07-21 17:53:24,789 | SLAM.ROSBotController | ERROR | _init_advanced_slam:291 | Advanced SLAM initialization error: name 'EnhancedOccupancyGrid' is not defined
2025-07-21 17:53:24,789 | SLAM.ROSBotController | WARNING | _init_advanced_slam:292 | Running with basic navigation fallback
2025-07-21 17:53:24,941 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,041 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,128 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,233 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,345 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,456 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,553 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,637 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,736 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,836 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:25,942 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:26,039 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:26,139 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:26,216 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:26,313 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:26,392 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:26,478 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
2025-07-21 17:53:26,574 | SLAM.ROSBotController | CRITICAL | check_advanced_safety:815 | Emergency stop - obstacle detected!
