2025-07-22 18:41:17,635 | SLAM.rosbot_controller | INFO | _init_motors:130 | 4-wheel motor system initialized
2025-07-22 18:41:17,636 | SLAM.rosbot_controller | INFO | _init_sensors:146 | RGB Camera enabled
2025-07-22 18:41:17,637 | SLAM.rosbot_controller | INFO | _init_sensors:156 | Depth Camera enabled
2025-07-22 18:41:17,637 | SLAM.rosbot_controller | INFO | _init_sensors:166 | LiDAR enabled
2025-07-22 18:41:17,637 | SLAM.rosbot_controller | INFO | _init_sensors:183 | Wheel encoders initialized
2025-07-22 18:41:17,637 | SLAM.rosbot_controller | INFO | _init_sensors:208 | Complete sensor suite initialized
2025-07-22 18:41:17,637 | SLAM.rosbot_controller | INFO | _init_advanced_slam:224 | Enhanced Occupancy Grid initialized
2025-07-22 18:41:17,640 | SLAM.rosbot_controller | INFO | _init_advanced_slam:229 | A* Path Planner initialized
2025-07-22 18:41:17,640 | SLAM.rosbot_controller | INFO | _init_advanced_slam:243 | Frontier & Autonomous Explorer initialized
2025-07-22 18:41:17,646 | SLAM.rosbot_controller | INFO | _init_advanced_slam:254 | Pillar Detection & Mapping initialized
2025-07-22 18:41:17,647 | SLAM.rosbot_controller | INFO | _init_advanced_slam:260 | Advanced Sensor Fusion initialized
2025-07-22 18:41:17,650 | SLAM.rosbot_controller | INFO | _init_advanced_slam:265 | Visual Odometry initialized
2025-07-22 18:41:17,650 | SLAM.rosbot_controller | INFO | _init_advanced_slam:273 | Loop Closure Detection initialized
2025-07-22 18:41:17,650 | SLAM.rosbot_controller | INFO | _init_advanced_slam:282 | Robust SLAM Manager initialized
2025-07-22 18:41:17,818 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.118s (slow operation)
2025-07-22 18:41:18,365 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.006s
2025-07-22 18:41:18,366 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_visual_odometry completed in 0.007s
2025-07-22 18:41:18,366 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 18:41:18,367 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_wheel_odometry completed in 0.001s
2025-07-22 18:41:18,373 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_lidar_scan completed in 0.006s
